,Jornada,MetaEquipo,GF,GA,xG,xGA,game_counter,is_home_game,is_away_game,is_win,is_loss,is_draw,is_win_home,is_loss_home,is_draw_home,is_win_away,is_loss_away,is_draw_away,is_over,is_AA,is_over_home,is_AA_home,is_over_away,is_AA_away,is_win_norm,is_loss_norm,is_draw_norm,is_over_norm,is_AA_norm,is_win_home_norm,is_loss_home_norm,is_draw_home_norm,is_over_home_norm,is_AA_home_norm,is_win_away_norm,is_loss_away_norm,is_draw_away_norm,is_over_away_norm,is_AA_away_norm
0,1.0,America,0.9230769230769231,1.0769230769230769,0.6307692307692307,0.4076923076923077,13,6,7,3,5,5,1,2,3,2,3,2,6,7,2,2,4,5,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.7142857142857143
1,1.0,Atlas,1.2307692307692308,0.9230769230769231,0.9923076923076923,0.4230769230769231,13,7,6,6,3,4,3,2,2,3,1,2,6,6,2,3,4,3,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5
2,1.0,Atletico,1.4,1.6,1.52,1.78,5,3,2,2,2,1,0,2,1,2,0,0,3,4,1,2,2,2,0.4,0.4,0.2,0.6,0.8,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,1.0
3,1.0,Cruz_Azul,1.1538461538461537,0.6923076923076923,0.6615384615384615,0.8307692307692308,13,6,7,6,2,5,3,1,2,3,1,3,2,4,1,1,1,3,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.42857142857142855
4,1.0,FC_Juarez,1.2,1.4,1.0,1.72,5,2,3,2,2,1,1,1,0,1,1,1,4,4,2,2,2,2,0.4,0.4,0.2,0.8,0.8,0.5,0.5,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
5,1.0,Guadalajara,1.0769230769230769,0.7692307692307693,0.7384615384615384,0.6538461538461539,13,7,6,5,4,4,3,2,2,2,2,2,5,6,3,2,2,4,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
6,1.0,Leon,1.3846153846153846,2.076923076923077,0.8538461538461538,0.7461538461538461,13,6,7,5,6,2,2,3,1,3,3,1,10,9,5,4,5,5,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.7692307692307693,0.6923076923076923,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.7142857142857143
7,1.0,Mazatlan,1.2,2.0,0.76,2.8600000000000003,5,2,3,1,3,1,0,1,1,1,2,0,3,3,1,2,2,1,0.2,0.6,0.2,0.6,0.6,0.0,0.5,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
8,1.0,Monterrey,1.4615384615384615,1.0,1.0461538461538462,0.8153846153846154,13,7,6,5,3,5,2,1,4,3,2,1,5,5,1,2,4,3,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5
9,1.0,Necaxa,0.8181818181818182,1.3636363636363635,0.8,0.9545454545454546,11,7,4,3,6,2,3,3,1,0,3,1,6,5,5,4,1,1,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.5454545454545454,0.45454545454545453,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.0,0.75,0.25,0.25,0.25
10,1.0,Pachuca,2.1538461538461537,1.3076923076923077,1.0846153846153848,0.6307692307692307,13,7,6,7,4,2,5,2,0,2,2,2,7,7,5,4,2,3,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
11,1.0,Puebla,1.3846153846153846,2.0,0.6461538461538462,0.8923076923076922,13,5,8,3,4,6,2,1,2,1,3,4,7,10,3,5,4,5,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.7692307692307693,0.4,0.2,0.4,0.6,1.0,0.125,0.375,0.5,0.5,0.625
12,1.0,Pumas_UNAM,2.0,1.0769230769230769,1.1,0.6615384615384615,13,8,5,8,3,2,6,0,2,2,3,0,8,7,4,3,4,4,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.5384615384615384,0.75,0.0,0.25,0.5,0.375,0.4,0.6,0.0,0.8,0.8
