,Temporada,Jornada,SeasonStage,TotalGoals,is_win,is_draw,is_loss,is_home_game,is_away_game,game_counter,is_over,is_AA,is_win_home,is_draw_home,is_loss_home,is_win_away,is_draw_away,is_loss_away,home_goals,away_goals,is_over_home,is_AA_home,is_over_away,is_AA_away,is_win_norm,is_loss_norm,is_draw_norm,is_over_norm,is_AA_norm,is_win_home_norm,is_loss_home_norm,is_draw_home_norm,is_over_home_norm,is_AA_home_norm,is_win_away_norm,is_loss_away_norm,is_draw_away_norm,is_over_away_norm,is_AA_away_norm
51,2016-2017,12.0,Clausura,22.0,3,3,6,3,9,12,3,5,2,1,0,1,2,6,15.0,7.0,1,2,2,3,0.25,0.5,0.25,0.25,0.4166666666666667,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333
52,2016-2017,13.0,Apertura,33.0,4,3,4,5,6,11,6,9,2,1,2,2,2,2,17.0,16.0,4,5,2,4,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.8181818181818182,0.4,0.4,0.2,0.8,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
53,2016-2017,13.0,Clausura,28.0,6,3,2,6,5,11,6,6,4,1,1,2,2,1,18.0,10.0,3,3,3,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.4,0.2,0.4,0.6,0.6
54,2016-2017,14.0,Apertura,27.0,2,4,3,5,4,9,5,7,0,2,3,2,2,0,10.0,17.0,2,3,3,4,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.0,0.6,0.4,0.4,0.6,0.5,0.0,0.5,0.75,1.0
55,2016-2017,14.0,Clausura,26.0,4,2,3,4,5,9,6,5,1,1,2,3,1,1,11.0,15.0,3,3,3,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.5555555555555556,0.25,0.5,0.25,0.75,0.75,0.6,0.2,0.2,0.6,0.4
56,2016-2017,-,Apertura,17.0,2,4,1,6,1,7,3,5,2,3,1,0,1,0,10.0,7.0,3,4,0,1,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.16666666666666666,0.5,0.5,0.6666666666666666,0.0,0.0,1.0,0.0,1.0
57,2016-2017,-,Clausura,19.0,1,2,3,2,4,6,3,4,1,0,1,0,2,2,11.0,8.0,1,1,2,3,0.16666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.75
58,2017-2018,1.0,Apertura,18.0,4,2,3,4,5,9,3,1,1,2,1,3,0,2,8.0,10.0,0,1,3,0,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.25,0.25,0.5,0.0,0.25,0.6,0.4,0.0,0.6,0.0
59,2017-2018,1.0,Clausura,18.0,2,3,4,5,4,9,4,5,1,2,2,1,1,2,9.0,9.0,3,3,1,2,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.2,0.4,0.4,0.6,0.6,0.25,0.5,0.25,0.25,0.5
60,2017-2018,2.0,Apertura,29.0,3,5,3,4,7,11,4,8,2,2,0,1,3,3,18.0,11.0,2,4,2,4,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.7272727272727273,0.5,0.0,0.5,0.5,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714
61,2017-2018,2.0,Clausura,29.0,5,3,3,7,4,11,7,7,3,3,1,2,0,2,16.0,13.0,4,4,3,3,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,0.75,0.75
62,2017-2018,3.0,Apertura,37.0,4,4,4,8,4,12,9,9,2,3,3,2,1,1,15.0,22.0,6,6,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.25,0.375,0.375,0.75,0.75,0.5,0.25,0.25,0.75,0.75
63,2017-2018,3.0,Clausura,29.0,6,4,2,4,8,12,5,4,2,1,1,4,3,1,12.0,17.0,2,2,3,2,0.5,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.25,0.25,0.5,0.5,0.5,0.125,0.375,0.375,0.25
64,2017-2018,4.0,Apertura,28.0,4,4,5,3,10,13,6,6,1,1,1,3,3,4,16.0,12.0,1,1,5,5,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.4,0.3,0.5,0.5
65,2017-2018,4.0,Clausura,37.0,6,3,4,10,3,13,7,7,6,2,2,0,1,2,23.0,14.0,5,4,2,3,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.5384615384615384,0.5384615384615384,0.6,0.2,0.2,0.5,0.4,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
66,2017-2018,5.0,Apertura,31.0,2,5,7,11,3,14,6,8,2,4,5,0,1,2,15.0,16.0,4,5,2,3,0.14285714285714285,0.5,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
67,2017-2018,5.0,Clausura,34.0,3,6,5,3,11,14,4,7,2,1,0,1,5,5,24.0,10.0,2,2,2,5,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.2857142857142857,0.5,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.45454545454545453
68,2017-2018,6.0,Apertura,38.0,3,6,5,2,12,14,7,11,1,1,0,2,5,5,22.0,16.0,0,0,7,11,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.5,0.7857142857142857,0.5,0.0,0.5,0.0,0.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.9166666666666666
69,2017-2018,6.0,Clausura,30.0,4,5,5,12,2,14,4,7,4,4,4,0,1,1,15.0,15.0,3,6,1,1,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5,0.0,0.5,0.5,0.5,0.5
70,2017-2018,7.0,Apertura,29.0,4,4,6,7,7,14,7,8,3,3,1,1,1,5,19.0,10.0,4,4,3,4,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.5714285714285714
71,2017-2018,7.0,Clausura,38.0,4,4,6,2,12,14,7,7,1,1,0,3,3,6,26.0,12.0,1,1,6,6,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.5
