,Temporada,Jornada,SeasonStage,TotalGoals,is_win,is_draw,is_loss,is_home_game,is_away_game,game_counter,is_over,is_AA,is_win_home,is_draw_home,is_loss_home,is_win_away,is_draw_away,is_loss_away,home_goals,away_goals,is_over_home,is_AA_home,is_over_away,is_AA_away,is_win_norm,is_loss_norm,is_draw_norm,is_over_norm,is_AA_norm,is_win_home_norm,is_loss_home_norm,is_draw_home_norm,is_over_home_norm,is_AA_home_norm,is_win_away_norm,is_loss_away_norm,is_draw_away_norm,is_over_away_norm,is_AA_away_norm
103,2018-2019,8.0,Clausura,32.0,7,3,4,12,2,14,6,6,6,3,3,1,0,1,19.0,13.0,5,5,1,1,0.5,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.5,0.25,0.25,0.4166666666666667,0.4166666666666667,0.5,0.5,0.0,0.5,0.5
104,2018-2019,9.0,Apertura,34.0,7,3,4,12,2,14,6,6,6,3,3,1,0,1,22.0,12.0,4,5,2,1,0.5,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.5,0.25,0.25,0.3333333333333333,0.4166666666666667,0.5,0.5,0.0,1.0,0.5
105,2018-2019,9.0,Clausura,34.0,5,2,7,2,12,14,6,5,2,0,0,3,2,7,24.0,10.0,2,1,4,4,0.35714285714285715,0.5,0.14285714285714285,0.42857142857142855,0.35714285714285715,1.0,0.0,0.0,1.0,0.5,0.25,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333
106,2018-2019,10.0,Apertura,42.0,3,5,5,1,12,13,8,10,0,1,0,3,4,5,23.0,19.0,1,1,7,9,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.7692307692307693,0.0,0.0,1.0,1.0,1.0,0.25,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.75
107,2018-2019,10.0,Clausura,33.0,9,2,2,12,1,13,6,5,9,2,1,0,0,1,24.0,9.0,6,5,0,0,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.75,0.08333333333333333,0.16666666666666666,0.5,0.4166666666666667,0.0,1.0,0.0,0.0,0.0
108,2018-2019,11.0,Apertura,33.0,6,3,3,10,2,12,7,7,5,2,3,1,1,0,17.0,16.0,6,6,1,1,0.5,0.25,0.25,0.5833333333333334,0.5833333333333334,0.5,0.3,0.2,0.6,0.6,0.5,0.0,0.5,0.5,0.5
109,2018-2019,11.0,Clausura,36.0,2,2,8,2,10,12,9,5,1,0,1,1,2,7,25.0,11.0,1,1,8,4,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.75,0.4166666666666667,0.5,0.5,0.0,0.5,0.5,0.1,0.7,0.2,0.8,0.4
110,2018-2019,12.0,Apertura,34.0,0,4,7,2,9,11,7,5,0,1,1,0,3,6,24.0,10.0,1,1,6,4,0.0,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.45454545454545453,0.0,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444
111,2018-2019,12.0,Clausura,35.0,5,3,3,9,2,11,8,6,5,3,1,0,0,2,24.0,11.0,6,4,2,2,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,1.0,0.0,1.0,1.0
112,2018-2019,13.0,Apertura,19.0,3,5,2,6,4,10,2,5,1,4,1,2,1,1,11.0,8.0,1,3,1,2,0.3,0.2,0.5,0.2,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5,0.25,0.25,0.25,0.5
113,2018-2019,13.0,Clausura,24.0,1,4,5,4,6,10,5,6,1,3,0,0,1,5,15.0,9.0,3,4,2,2,0.1,0.5,0.4,0.5,0.6,0.25,0.0,0.75,0.75,1.0,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333
114,2018-2019,14.0,Apertura,16.0,1,4,4,4,5,9,2,5,0,2,2,1,2,2,8.0,8.0,0,1,2,4,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.0,0.5,0.5,0.0,0.25,0.2,0.4,0.4,0.4,0.8
115,2018-2019,14.0,Clausura,28.0,5,1,3,5,4,9,6,5,5,0,0,0,1,3,21.0,7.0,2,2,4,3,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5555555555555556,1.0,0.0,0.0,0.4,0.4,0.0,0.75,0.25,1.0,0.75
116,2018-2019,-,Apertura,13.0,2,3,2,2,5,7,2,3,1,1,0,1,2,2,7.0,6.0,0,0,2,3,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.5,0.0,0.5,0.0,0.0,0.2,0.4,0.4,0.4,0.6
117,2018-2019,-,Clausura,14.0,3,1,3,4,3,7,2,3,2,1,1,1,0,2,8.0,6.0,1,2,1,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5,0.25,0.25,0.25,0.5,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
118,2019-2020,1.0,Apertura,24.0,4,1,4,4,5,9,4,3,2,0,2,2,1,2,12.0,12.0,2,2,2,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.5,0.5,0.0,0.5,0.5,0.4,0.4,0.2,0.4,0.2
119,2019-2020,2.0,Apertura,21.0,3,4,4,5,6,11,3,5,2,2,1,1,2,3,14.0,7.0,1,3,2,2,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.4,0.2,0.4,0.2,0.6,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
120,2019-2020,3.0,Apertura,40.0,4,1,7,4,8,12,9,7,2,0,2,2,1,5,24.0,16.0,2,2,7,5,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.75,0.5833333333333334,0.5,0.5,0.0,0.5,0.5,0.25,0.625,0.125,0.875,0.625
121,2019-2020,4.0,Apertura,37.0,8,1,3,9,3,12,7,5,7,1,1,1,0,2,25.0,12.0,6,4,1,1,0.6666666666666666,0.25,0.08333333333333333,0.5833333333333334,0.4166666666666667,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
122,2019-2020,5.0,Apertura,42.0,4,4,7,2,13,15,6,8,0,1,1,4,3,6,21.0,21.0,0,1,6,7,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.4,0.5333333333333333,0.0,0.5,0.5,0.0,0.5,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.5384615384615384
123,2019-2020,6.0,Apertura,46.0,7,5,4,13,3,16,9,11,6,4,3,1,1,1,24.0,22.0,7,8,2,3,0.4375,0.25,0.3125,0.5625,0.6875,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.5384615384615384,0.6153846153846154,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
124,2019-2020,7.0,Apertura,38.0,2,7,4,3,10,13,6,10,2,0,1,0,7,3,22.0,16.0,2,2,4,8,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.46153846153846156,0.7692307692307693,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3,0.7,0.4,0.8
125,2019-2020,8.0,Apertura,40.0,2,6,6,10,4,14,7,11,2,5,3,0,1,3,22.0,18.0,3,7,4,4,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5,0.7857142857142857,0.2,0.3,0.5,0.3,0.7,0.0,0.75,0.25,1.0,1.0
126,2019-2020,9.0,Apertura,49.0,5,4,5,8,6,14,8,11,2,2,4,3,2,1,23.0,26.0,5,6,3,5,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.5714285714285714,0.7857142857142857,0.25,0.5,0.25,0.625,0.75,0.5,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334
127,2019-2020,10.0,Apertura,37.0,8,5,2,5,10,15,5,9,3,2,0,5,3,2,21.0,16.0,1,3,4,6,0.5333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.6,0.0,0.4,0.2,0.6,0.5,0.2,0.3,0.4,0.6
128,2019-2020,11.0,Apertura,36.0,2,4,8,10,4,14,7,8,2,3,5,0,1,3,20.0,16.0,4,6,3,2,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5,0.5714285714285714,0.2,0.5,0.3,0.4,0.6,0.0,0.75,0.25,0.75,0.5
129,2019-2020,12.0,Apertura,42.0,5,4,5,3,11,14,7,9,1,2,0,4,2,5,25.0,17.0,2,3,5,6,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.5,0.6428571428571429,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.5454545454545454
130,2019-2020,13.0,Apertura,37.0,5,3,6,10,4,14,6,7,4,1,5,1,2,1,20.0,17.0,5,5,1,2,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.5,0.4,0.5,0.1,0.5,0.5,0.25,0.25,0.5,0.25,0.5
131,2019-2020,14.0,Apertura,34.0,6,2,5,6,7,13,7,7,3,0,3,3,2,2,19.0,15.0,3,2,4,5,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.5384615384615384,0.5384615384615384,0.5,0.5,0.0,0.5,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.7142857142857143
132,2019-2020,15.0,Apertura,26.0,4,4,3,5,6,11,5,5,1,2,2,3,2,1,11.0,15.0,2,2,3,3,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.2,0.4,0.4,0.4,0.4,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5
133,2019-2020,16.0,Apertura,29.0,3,1,5,4,5,9,7,6,2,0,2,1,1,3,18.0,11.0,3,3,4,3,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.7777777777777778,0.6666666666666666,0.5,0.5,0.0,0.75,0.75,0.2,0.6,0.2,0.8,0.6
134,2019-2020,-,Apertura,19.0,3,0,2,4,1,5,5,4,3,0,1,0,0,1,13.0,6.0,4,3,1,1,0.6,0.4,0.0,1.0,0.8,0.75,0.25,0.0,1.0,0.75,0.0,1.0,0.0,1.0,1.0
135,2020-2021,-,Apertura,28.0,4,3,4,5,6,11,6,6,2,2,1,2,1,3,15.0,13.0,2,2,4,4,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.4,0.2,0.4,0.4,0.4,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666
136,2020-2021,-,Clausura,31.0,3,2,6,3,8,11,7,5,2,1,0,1,1,6,23.0,8.0,1,1,6,4,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.45454545454545453,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.75,0.125,0.75,0.5
137,2020-2021,-,Guardianes,390.0,62,40,51,80,73,153,72,88,40,20,20,22,20,31,220.0,170.0,37,42,35,46,0.40522875816993464,0.3333333333333333,0.26143790849673204,0.47058823529411764,0.5751633986928104,0.5,0.25,0.25,0.4625,0.525,0.3013698630136986,0.4246575342465753,0.273972602739726,0.4794520547945205,0.6301369863013698
138,2021-2022,1.0,Apertura,21.0,1,3,5,5,4,9,5,4,0,1,4,1,2,1,8.0,13.0,3,3,2,1,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.0,0.8,0.2,0.6,0.6,0.25,0.25,0.5,0.5,0.25
139,2021-2022,1.0,Clausura,22.0,5,4,1,8,2,10,3,4,5,2,1,0,2,0,16.0,6.0,3,2,0,2,0.5,0.1,0.4,0.3,0.4,0.625,0.125,0.25,0.375,0.25,0.0,0.0,1.0,0.0,1.0
140,2021-2022,2.0,Apertura,23.0,7,2,0,7,2,9,4,6,6,1,0,1,1,0,15.0,8.0,4,5,0,1,0.7777777777777778,0.0,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.8571428571428571,0.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.5,0.0,0.5,0.0,0.5
141,2021-2022,2.0,Clausura,28.0,4,2,5,4,7,11,5,6,1,1,2,3,1,3,11.0,17.0,1,2,4,4,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.5454545454545454,0.25,0.5,0.25,0.25,0.5,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.5714285714285714
142,2021-2022,3.0,Apertura,21.0,5,3,1,3,6,9,3,5,1,1,1,4,2,0,8.0,13.0,0,1,3,4,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5,0.6666666666666666
143,2021-2022,3.0,Clausura,39.0,5,2,4,6,5,11,8,9,2,1,3,3,1,1,17.0,22.0,4,5,4,4,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.8181818181818182,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.6,0.2,0.2,0.8,0.8
144,2021-2022,4.0,Apertura,18.0,4,4,1,7,2,9,3,3,3,3,1,1,1,0,12.0,6.0,3,3,0,0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.0,0.5,0.0,0.0
145,2021-2022,4.0,Clausura,36.0,8,0,4,5,7,12,6,6,3,0,2,5,0,2,16.0,20.0,4,4,2,2,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.6,0.4,0.0,0.8,0.8,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857
146,2021-2022,5.0,Apertura,24.0,3,5,2,4,6,10,5,5,1,2,1,2,3,1,12.0,12.0,2,1,3,4,0.3,0.2,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5,0.6666666666666666
147,2021-2022,5.0,Clausura,34.0,0,3,9,8,4,12,7,8,0,2,6,0,1,3,14.0,20.0,5,5,2,3,0.0,0.75,0.25,0.5833333333333334,0.6666666666666666,0.0,0.75,0.25,0.625,0.625,0.0,0.75,0.25,0.5,0.75
148,2021-2022,6.0,Apertura,18.0,1,6,4,5,6,11,2,3,1,2,2,0,4,2,9.0,9.0,1,1,1,2,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.2,0.4,0.4,0.2,0.2,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333
149,2021-2022,6.0,Clausura,27.0,2,5,5,4,8,12,5,7,1,1,2,1,4,3,13.0,14.0,2,2,3,5,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.25,0.5,0.25,0.5,0.5,0.125,0.375,0.5,0.375,0.625
150,2021-2022,7.0,Apertura,30.0,2,6,3,5,6,11,6,9,2,2,1,0,4,2,17.0,13.0,3,4,3,5,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.4,0.2,0.4,0.6,0.8,0.0,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334
151,2021-2022,7.0,Clausura,32.0,4,3,5,5,7,12,6,8,1,1,3,3,2,2,15.0,17.0,4,5,2,3,0.3333333333333333,0.4166666666666667,0.25,0.5,0.6666666666666666,0.2,0.6,0.2,0.8,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
152,2021-2022,8.0,Apertura,31.0,4,3,4,4,7,11,8,7,3,1,0,1,2,4,21.0,10.0,3,3,5,4,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.6363636363636364,0.75,0.0,0.25,0.75,0.75,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.5714285714285714
153,2021-2022,8.0,Clausura,26.0,3,6,3,8,4,12,5,7,1,5,2,2,1,1,12.0,14.0,2,4,3,3,0.25,0.25,0.5,0.4166666666666667,0.5833333333333334,0.125,0.25,0.625,0.25,0.5,0.5,0.25,0.25,0.75,0.75
154,2021-2022,9.0,Apertura,26.0,6,2,3,5,6,11,4,4,4,1,0,2,1,3,17.0,9.0,1,1,3,3,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.8,0.0,0.2,0.2,0.2,0.3333333333333333,0.5,0.16666666666666666,0.5,0.5
155,2021-2022,9.0,Clausura,38.0,7,0,7,6,8,14,11,6,3,0,3,4,0,4,18.0,20.0,4,3,7,3,0.5,0.5,0.0,0.7857142857142857,0.42857142857142855,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.5,0.0,0.875,0.375
156,2021-2022,10.0,Apertura,17.0,5,5,2,7,5,12,2,4,4,2,1,1,3,1,11.0,6.0,1,2,1,2,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2,0.2,0.6,0.2,0.4
157,2021-2022,10.0,Clausura,37.0,6,1,8,8,7,15,10,6,5,0,3,1,1,5,24.0,13.0,5,3,5,3,0.4,0.5333333333333333,0.06666666666666667,0.6666666666666666,0.4,0.625,0.375,0.0,0.625,0.375,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.42857142857142855
158,2021-2022,11.0,Apertura,29.0,5,3,6,6,8,14,6,6,2,1,3,3,2,3,15.0,14.0,3,1,3,5,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.5,0.16666666666666666,0.5,0.16666666666666666,0.375,0.375,0.25,0.375,0.625
159,2021-2022,11.0,Clausura,37.0,6,4,4,6,8,14,8,9,4,2,0,2,2,4,23.0,14.0,4,4,4,5,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.6428571428571429,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.5,0.25,0.5,0.625
160,2021-2022,12.0,Apertura,20.0,5,6,3,8,6,14,2,5,3,3,2,2,3,1,11.0,9.0,2,5,0,0,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.375,0.25,0.375,0.25,0.625,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
161,2021-2022,12.0,Clausura,25.0,4,4,4,6,6,12,4,7,3,2,1,1,2,3,15.0,10.0,3,4,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5
162,2021-2022,13.0,Apertura,19.0,2,4,6,6,6,12,3,4,1,2,3,1,2,3,11.0,8.0,1,2,2,2,0.16666666666666666,0.5,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
163,2021-2022,13.0,Clausura,22.0,3,4,3,8,2,10,4,5,3,3,2,0,1,1,13.0,9.0,4,4,0,1,0.3,0.3,0.4,0.4,0.5,0.375,0.25,0.375,0.5,0.5,0.0,0.5,0.5,0.0,0.5
164,2021-2022,14.0,Apertura,33.0,4,6,4,7,7,14,5,7,3,3,1,1,3,3,19.0,14.0,5,5,0,2,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.35714285714285715,0.5,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.2857142857142857
165,2021-2022,14.0,Clausura,25.0,1,1,7,4,5,9,5,5,0,0,4,1,1,3,13.0,12.0,2,2,3,3,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.0,1.0,0.0,0.5,0.5,0.2,0.6,0.2,0.6,0.6
166,2021-2022,15.0,Apertura,38.0,5,6,3,8,6,14,6,10,3,3,2,2,3,1,18.0,20.0,2,5,4,5,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.375,0.25,0.375,0.25,0.625,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,0.8333333333333334
167,2021-2022,15.0,Clausura,13.0,8,1,0,6,3,9,1,1,6,0,0,2,1,0,10.0,3.0,1,1,0,0,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
168,2021-2022,16.0,Apertura,24.0,0,3,8,6,5,11,5,5,0,1,5,0,2,3,9.0,15.0,2,1,3,4,0.0,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.6,0.4,0.6,0.8
169,2021-2022,16.0,Clausura,25.0,5,2,2,2,7,9,4,4,1,0,1,4,2,1,11.0,14.0,1,1,3,3,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.5,0.5,0.0,0.5,0.5,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855
170,2021-2022,17.0,Apertura,22.0,4,2,3,4,5,9,4,2,3,1,0,1,1,3,16.0,6.0,1,0,3,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.75,0.0,0.25,0.25,0.0,0.2,0.6,0.2,0.6,0.4
171,2021-2022,17.0,Clausura,26.0,3,3,3,6,3,9,4,4,2,3,1,1,0,2,16.0,10.0,3,4,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0
172,2021-2022,-,Apertura,29.0,3,3,5,2,9,11,7,7,1,0,1,2,3,4,15.0,14.0,2,2,5,5,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.6363636363636364,0.6363636363636364,0.5,0.5,0.0,1.0,1.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.5555555555555556
173,2021-2022,-,Clausura,32.0,4,6,1,7,4,11,6,8,3,3,1,1,3,0,19.0,13.0,3,4,3,4,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.25,0.0,0.75,0.75,1.0
174,2022-2023,1.0,Apertura,29.0,2,3,4,6,3,9,5,6,1,2,3,1,1,1,13.0,16.0,3,4,2,2,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
175,2022-2023,1.0,Clausura,30.0,5,3,2,6,4,10,7,7,3,2,1,2,1,1,16.0,14.0,5,4,2,3,0.5,0.2,0.3,0.7,0.7,0.5,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.5,0.25,0.25,0.5,0.75
176,2022-2023,2.0,Apertura,27.0,4,1,4,4,5,9,5,5,1,1,2,3,0,2,12.0,15.0,2,2,3,3,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.25,0.5,0.25,0.5,0.5,0.6,0.4,0.0,0.6,0.6
177,2022-2023,2.0,Clausura,42.0,3,3,6,5,7,12,10,8,2,1,2,1,2,4,27.0,15.0,3,2,7,6,0.25,0.5,0.25,0.8333333333333334,0.6666666666666666,0.4,0.4,0.2,0.6,0.4,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0,0.8571428571428571
178,2022-2023,3.0,Apertura,17.0,2,4,3,4,5,9,1,5,2,1,1,0,3,2,10.0,7.0,1,2,0,3,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.5,0.25,0.25,0.25,0.5,0.0,0.4,0.6,0.0,0.6
179,2022-2023,3.0,Clausura,43.0,2,5,5,6,6,12,9,9,1,4,1,1,1,4,28.0,15.0,5,6,4,3,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.75,0.75,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5
180,2022-2023,4.0,Apertura,17.0,1,4,4,3,6,9,3,3,0,3,0,1,1,4,10.0,7.0,1,1,2,2,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
181,2022-2023,4.0,Clausura,28.0,2,5,5,6,6,12,6,6,1,1,4,1,4,1,15.0,13.0,3,2,3,4,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.5,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.6666666666666666
182,2022-2023,5.0,Apertura,20.0,3,3,4,7,3,10,3,4,3,1,3,0,2,1,11.0,9.0,1,1,2,3,0.3,0.4,0.3,0.3,0.4,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
183,2022-2023,5.0,Clausura,35.0,6,4,2,4,8,12,7,8,2,2,0,4,2,2,18.0,17.0,1,3,6,5,0.5,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5,0.0,0.5,0.25,0.75,0.5,0.25,0.25,0.75,0.625
184,2022-2023,6.0,Apertura,23.0,4,4,3,6,5,11,4,5,4,2,0,0,2,3,17.0,6.0,3,3,1,2,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.6666666666666666,0.0,0.3333333333333333,0.5,0.5,0.0,0.6,0.4,0.2,0.4
185,2022-2023,6.0,Clausura,39.0,6,1,5,7,5,12,7,8,5,0,2,1,1,3,24.0,15.0,5,5,2,3,0.5,0.4166666666666667,0.08333333333333333,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857143,0.7142857142857143,0.2,0.6,0.2,0.4,0.6
186,2022-2023,7.0,Apertura,35.0,4,2,5,2,9,11,7,7,2,0,0,2,2,5,24.0,11.0,1,1,6,6,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.6363636363636364,0.6363636363636364,1.0,0.0,0.0,0.5,0.5,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.6666666666666666
187,2022-2023,7.0,Clausura,29.0,7,4,2,5,8,13,5,7,4,0,1,3,4,1,16.0,13.0,2,2,3,5,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.8,0.2,0.0,0.4,0.4,0.375,0.125,0.5,0.375,0.625
